Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Mileage_kmpl,Seats,Owner_Count,Selling_Price
Ford,2016,23073,Petrol,Manual,2013.0,10.3,5,1,1854000
Toyota,2023,41035,Petrol,Automatic,1964.0,25.4,4,1,3038000
Hyundai,2023,95373,Petrol,Manual,2378.0,16.0,5,2,2734000
Skoda,2014,88362,Petrol,Manual,1457.0,19.7,5,2,1356000
Honda,2025,95517,Diesel,Automatic,2138.0,11.3,7,2,2897000
Maruti,2017,70450,CNG,Automatic,2267.0,20.9,5,2,2306000
Ford,2013,15382,Petrol,Manual,2142.0,24.9,7,1,1712000
Honda,2023,140509,CNG,Manual,2264.0,19.2,5,3,2541000
Skoda,2014,66929,Petrol,Automatic,1915.0,12.0,5,1,1512000
Kia,2016,103864,Petrol,Automatic,978.0,19.3,5,2,1584000
Skoda,2023,148401,Petrol,Automatic,1879.0,22.3,7,1,2646000
Tata,2022,30169,Diesel,Manual,1978.0,16.5,7,3,2691000
Skoda,2022,92468,Electric,Manual,2495.0,24.1,5,2,2972000
Tata,2012,39594,Diesel,Manual,910.0,20.4,5,2,904000
Kia,2024,50033,Petrol,Automatic,936.0,24.4,5,1,2693000
Volkswagen,2012,68133,Diesel,Manual,1031.0,20.0,5,1,1328000
Tata,2021,78861,Petrol,Manual,1791.0,12.1,7,2,2297000
Maruti,2020,36750,CNG,Automatic,1267.0,15.0,5,2,1947000
Skoda,2018,45461,Petrol,Manual,1531.0,13.2,5,1,1838000
Skoda,2012,83222,Petrol,Automatic,1280.0,24.5,5,3,1229000
Maruti,2026,117020,Diesel,Manual,1891.0,22.2,5,3,2642000
Hyundai,2023,29226,Diesel,Manual,1613.0,20.8,5,1,2808000
Mahindra,2025,11721,Petrol,Manual,2072.0,14.8,4,2,2854000
Volkswagen,2019,25609,Diesel,Automatic,1793.0,12.9,7,1,2068000
Ford,2014,135513,Petrol,Manual,1122.0,22.1,7,1,1295000
Tata,2019,109211,Diesel,Manual,1721.0,17.6,5,1,1972000
Maruti,2026,141728,Diesel,Automatic,1703.0,13.6,7,1,2808000
Kia,2016,129865,Diesel,Manual,2341.0,19.9,5,2,1890000
Tata,2012,79520,Diesel,Manual,2255.0,10.6,5,1,1561000
Mahindra,2018,69309,Diesel,Manual,2310.0,15.2,5,2,2296000
Kia,2016,34984,Petrol,Manual,1405.0,17.5,5,2,1662000
Honda,2017,123947,Diesel,Manual,1228.0,12.4,5,2,1426000
Skoda,2017,10901,Petrol,Manual,2092.0,25.8,5,1,2246000
Honda,2019,36055,Petrol,Manual,2532.0,13.3,5,2,2345000
Tata,2020,150788,Petrol,Manual,2360.0,12.1,8,1,2060000
Mahindra,2013,119099,Petrol,Manual,947.0,13.3,5,1,1003000
Volkswagen,2020,16138,Diesel,Manual,1941.0,22.3,5,1,2555000
Tata,2023,28429,Petrol,Manual,1649.0,16.8,5,1,2668000
Maruti,2026,55200,Diesel,Manual,1166.0,19.0,5,3,2651000
Toyota,2022,106268,Petrol,Manual,1649.0,10.3,5,1,2137000
Tata,2021,22347,Petrol,Manual,1889.0,10.6,7,2,2423000
Skoda,2020,152992,Petrol,Manual,1612.0,17.1,5,1,1844000
Skoda,2024,36822,Petrol,Automatic,2193.0,23.1,5,1,3142000
Tata,2021,45108,Petrol,Manual,974.0,24.2,5,4,1803000
Kia,2026,133955,Diesel,Automatic,1387.0,11.4,5,2,2454000
Toyota,2021,12967,Petrol,Automatic,1294.0,18.6,5,1,2422000
Maruti,2018,115719,Diesel,Manual,1772.0,24.6,5,1,1681000
Tata,2012,16871,Petrol,Manual,1937.0,16.2,5,1,1254000
Kia,2018,33179,Petrol,Manual,1934.0,23.3,5,1,2188000
Skoda,2021,60099,Diesel,Automatic,2584.0,12.1,5,2,2722000
Skoda,2016,40262,Petrol,Manual,2262.0,25.0,8,2,2038000
Mahindra,2017,83213,Petrol,Manual,2538.0,22.0,4,1,2026000
Tata,2021,122407,Petrol,Manual,1970.0,25.1,7,3,2198000
Toyota,2018,154340,Petrol,Automatic,834.0,20.8,7,1,1765000
Hyundai,2025,91269,CNG,Automatic,1798.0,15.8,5,1,2849000
Toyota,2026,65545,Petrol,Manual,2132.0,25.0,5,1,3127000
Skoda,2016,44922,Diesel,Manual,1337.0,14.4,5,2,1745000
Skoda,2018,47913,CNG,Manual,1549.0,15.3,7,1,2074000
Honda,2020,102033,Petrol,Manual,,21.2,5,1,2110000
Skoda,2014,109792,CNG,Automatic,1173.0,22.2,7,1,1508000
Maruti,2019,124863,Petrol,Manual,1356.0,24.9,7,1,1770000
Ford,2013,49936,Electric,Manual,2251.0,13.3,7,2,1814000
Tata,2022,33141,Petrol,Manual,2551.0,22.8,5,1,2965000
Toyota,2018,145146,Diesel,Automatic,1032.0,21.8,5,1,1896000
Ford,2024,142478,Petrol,Automatic,1504.0,11.0,7,2,2519000
Kia,2013,102359,Petrol,Manual,1362.0,16.2,5,3,1040000
Hyundai,2026,128279,Diesel,Automatic,1738.0,14.5,5,3,2838000
Maruti,2025,159363,Diesel,Manual,1686.0,14.9,7,1,2545000
Toyota,2015,46568,Petrol,Manual,1525.0,25.7,5,1,1944000
Ford,2018,102539,Petrol,Manual,2486.0,20.3,7,1,2286000
Hyundai,2014,51851,Diesel,Manual,2263.0,21.5,6,1,1983000
Honda,2013,59823,Diesel,Manual,2325.0,25.6,5,3,1932000
Maruti,2022,28312,Electric,Automatic,2098.0,16.0,7,1,2950000
Maruti,2021,103723,Diesel,Manual,875.0,22.8,5,1,1965000
Honda,2018,17411,Electric,Manual,1238.0,17.0,5,1,2223000
Tata,2012,62009,Diesel,Manual,2555.0,23.9,5,1,1795000
Honda,2025,151494,Petrol,Manual,1498.0,12.9,5,2,2143000
Maruti,2026,37371,Petrol,Automatic,2112.0,25.2,5,1,3457000
Maruti,2019,62022,Diesel,Manual,1714.0,13.5,5,1,1978000
Ford,2014,76229,Diesel,Manual,2363.0,15.2,5,1,1797000
Skoda,2023,104071,Petrol,Automatic,1690.0,22.1,5,1,2732000
Hyundai,2023,101774,Petrol,Manual,1491.0,16.3,7,1,2293000
Honda,2024,31715,Electric,Manual,1052.0,19.7,7,2,2533000
Hyundai,2013,32605,Petrol,Manual,1949.0,17.1,5,1,1598000
Honda,2014,104853,Petrol,Manual,2000.0,21.9,5,2,1362000
Kia,2016,36174,Petrol,Automatic,1860.0,13.7,5,3,1784000
Maruti,2022,146028,Petrol,Automatic,1209.0,10.9,5,3,1883000
Skoda,2019,81373,Petrol,Manual,2434.0,14.8,7,3,2237000
Ford,2021,74252,Petrol,Automatic,2433.0,17.6,7,1,2535000
Skoda,2018,75017,Petrol,Manual,926.0,12.7,5,1,1745000
Skoda,2018,68037,Diesel,Manual,2306.0,15.7,5,1,2272000
Skoda,2023,94818,Petrol,Manual,1991.0,16.4,5,3,2580000
Hyundai,2018,11548,Diesel,Manual,1391.0,10.9,5,4,1658000
Honda,2026,121981,CNG,Manual,1093.0,19.3,5,2,2310000
Volkswagen,2019,159249,Petrol,Manual,2461.0,24.1,8,1,2315000
Kia,2012,29022,Diesel,Automatic,2166.0,12.4,7,3,1657000
Toyota,2015,111297,Petrol,Manual,1819.0,19.6,5,1,1534000
Skoda,2024,141614,CNG,Manual,1109.0,20.6,5,1,2445000
Tata,2017,65428,Petrol,Manual,1461.0,16.7,7,1,1714000
Hyundai,2020,158812,Diesel,Manual,1327.0,21.2,5,1,1696000
Ford,2024,64353,Diesel,Manual,1339.0,16.6,5,1,2600000
Toyota,2013,118132,Petrol,Manual,1218.0,18.1,5,1,1118000
Volkswagen,2012,21052,Petrol,Automatic,1243.0,10.1,7,1,1253000
Tata,2024,105689,Diesel,Manual,1484.0,21.1,5,2,2218000
Volkswagen,2021,136743,Diesel,Manual,2381.0,20.6,6,2,2669000
Toyota,2023,5163,Petrol,Manual,1639.0,10.6,7,2,2397000
Skoda,2025,46424,Diesel,Manual,1035.0,15.9,7,1,2604000
Tata,2013,146706,Petrol,Manual,2262.0,25.7,7,2,1713000
Volkswagen,2018,140870,Diesel,Automatic,1013.0,16.7,5,3,1613000
Ford,2014,27420,Petrol,Manual,884.0,18.0,5,1,1216000
Honda,2021,125575,CNG,Manual,1593.0,24.6,7,1,2118000
Maruti,2013,34300,Petrol,Manual,2567.0,21.5,7,1,1853000
Honda,2025,94881,Petrol,Manual,884.0,19.3,5,1,2334000
Toyota,2022,15749,Petrol,Manual,2312.0,22.8,5,2,2694000
Hyundai,2018,109131,Petrol,Automatic,864.0,23.8,7,2,1747000
Maruti,2024,133563,Petrol,Manual,2469.0,17.3,7,1,2889000
Kia,2024,42487,Petrol,Automatic,1462.0,17.6,5,2,2713000
Ford,2013,26223,Diesel,Manual,1426.0,16.2,5,2,1181000
Kia,2014,77930,Petrol,Automatic,863.0,25.5,5,3,1535000
Tata,2022,150128,Petrol,Manual,2166.0,,5,1,2506000
Maruti,2018,33380,Petrol,Manual,1738.0,11.3,4,3,1766000
Kia,2025,31035,Petrol,Manual,1718.0,23.8,5,1,2996000
Kia,2015,35620,Petrol,Automatic,2175.0,17.7,5,1,2316000
Volkswagen,2024,155949,Petrol,Manual,1981.0,11.1,5,1,2258000
Honda,2025,122360,Petrol,Manual,2412.0,18.8,6,1,2864000
Volkswagen,2012,58352,Petrol,Manual,1290.0,16.7,7,2,893000
Maruti,2024,8191,Diesel,Automatic,2481.0,24.0,5,1,3280000
Maruti,2025,95536,Diesel,Manual,2286.0,13.3,5,1,2879000
Toyota,2016,109576,Petrol,Automatic,2048.0,23.2,7,1,2136000
Volkswagen,2023,8631,Petrol,Manual,1112.0,18.9,5,2,2221000
Mahindra,2020,142244,Electric,Manual,1414.0,10.9,8,1,1759000
Honda,2019,47080,Petrol,Manual,1718.0,25.5,7,2,2284000
Maruti,2023,95353,Diesel,Automatic,1612.0,18.2,5,1,2706000
Toyota,2026,156353,Petrol,Manual,1739.0,14.7,8,1,2568000
Volkswagen,2020,33671,Diesel,Automatic,2289.0,17.5,5,1,2717000
Honda,2021,127811,Diesel,Manual,1911.0,23.7,5,1,2201000
Volkswagen,2025,132734,Diesel,Manual,2126.0,14.9,5,1,2821000
Kia,2020,56399,Electric,Manual,1479.0,13.1,5,1,2212000
Toyota,2026,159544,Petrol,Manual,1234.0,12.1,7,3,2252000
Honda,2018,12099,Petrol,Automatic,1481.0,14.8,5,2,1894000
Skoda,2015,61492,Diesel,Automatic,1958.0,22.5,5,1,1980000
Tata,2016,101722,Diesel,Automatic,1873.0,17.5,5,1,1942000
Tata,2012,35111,Petrol,Automatic,2255.0,13.6,6,3,1357000
Honda,2025,68936,Petrol,Manual,1139.0,12.7,5,1,2331000
Volkswagen,2012,158686,Petrol,Manual,1146.0,15.3,5,1,868000
Toyota,2014,65920,Petrol,Automatic,1445.0,25.0,7,2,1593000
Tata,2024,68530,Diesel,Manual,2170.0,15.5,5,2,2929000
Toyota,2025,12788,Petrol,Automatic,1448.0,25.8,7,1,2961000
Tata,2019,33082,Petrol,Automatic,1044.0,17.8,5,1,1854000
Kia,2025,128287,Petrol,Manual,908.0,12.9,7,1,2150000
Volkswagen,2013,94570,Petrol,Automatic,1332.0,24.3,7,2,1671000
Kia,2015,106015,Petrol,Manual,1913.0,17.4,5,1,1724000
Tata,2013,88588,Diesel,Manual,1095.0,21.4,5,1,1102000
Skoda,2025,152603,Electric,Manual,911.0,25.7,7,1,2752000
Skoda,2016,93340,CNG,Manual,2412.0,10.8,5,1,1959000
Kia,2020,99439,Petrol,Manual,2000.0,11.5,8,3,2050000
Skoda,2012,146214,CNG,Manual,1142.0,21.5,5,2,919000
Tata,2016,120053,Diesel,Automatic,2483.0,14.5,5,2,1918000
Honda,2025,53355,Diesel,Automatic,900.0,12.9,5,1,2542000
Kia,2026,145938,Petrol,Manual,2581.0,10.6,7,1,2943000
Hyundai,2020,130426,Petrol,Manual,1428.0,10.3,5,1,2011000
Volkswagen,2026,69027,Petrol,Automatic,2427.0,22.4,7,1,3218000
Skoda,2012,97601,Petrol,Manual,2224.0,12.2,7,4,1497000
Skoda,2020,34956,Petrol,Manual,827.0,17.5,5,1,1857000
Maruti,2019,109797,Petrol,Manual,1736.0,19.7,5,1,2001000
Mahindra,2015,129917,Petrol,Manual,2360.0,16.9,7,1,1955000
Kia,2023,131303,Diesel,Manual,857.0,10.4,5,2,1835000
Ford,2022,141511,Petrol,Automatic,2321.0,22.5,7,1,2816000
Skoda,2021,47533,Petrol,Manual,1096.0,10.2,5,1,1636000
Volkswagen,2016,83815,Electric,Manual,933.0,22.2,5,1,1584000
Hyundai,2024,44279,Electric,Manual,2154.0,24.3,7,3,2955000
Skoda,2016,114787,Diesel,Manual,1048.0,16.9,5,1,1294000
Hyundai,2022,159960,Electric,Manual,1820.0,18.6,5,3,2289000
Tata,2023,153702,Diesel,Automatic,1349.0,17.6,5,2,2289000
Tata,2017,66063,Electric,Automatic,1701.0,16.2,5,1,2216000
Mahindra,2018,132896,Petrol,Manual,1898.0,24.2,5,2,1947000
Honda,2019,102661,Petrol,Automatic,2477.0,24.3,7,1,2535000
Ford,2026,143051,Petrol,Automatic,1633.0,15.4,5,3,2565000
Maruti,2025,128257,Petrol,Automatic,1991.0,19.8,5,1,2802000
Mahindra,2019,91205,Petrol,Manual,1570.0,24.8,6,1,2154000
Toyota,2022,11910,Diesel,Manual,2326.0,25.4,5,1,3067000
Maruti,2025,51857,Diesel,Manual,2178.0,18.1,5,1,2948000
Kia,2024,39964,Diesel,Manual,2048.0,17.2,7,4,2646000
Volkswagen,2013,142050,Petrol,Manual,2487.0,14.5,7,1,1575000
Toyota,2020,22153,Diesel,Manual,2354.0,25.3,5,2,2623000
Toyota,2018,64765,Diesel,Automatic,945.0,12.3,5,1,1767000
Mahindra,2015,113212,Petrol,Automatic,2064.0,19.3,4,3,1730000
Honda,2015,44071,Diesel,Automatic,1692.0,14.5,5,1,1911000
Mahindra,2022,117990,Petrol,Manual,1143.0,14.5,5,1,1973000
Kia,2019,74519,Petrol,Automatic,2572.0,16.5,5,1,2527000
Skoda,2015,14503,CNG,Manual,1858.0,26.0,5,2,1920000
Skoda,2024,100457,Petrol,Manual,1501.0,10.9,5,1,2288000
Honda,2026,152977,Petrol,Manual,800.0,19.3,5,1,2154000
Kia,2017,50838,CNG,Manual,952.0,11.3,7,1,1398000
Honda,2016,130200,Diesel,Manual,1228.0,12.5,5,2,1267000
Hyundai,2014,94489,Petrol,Automatic,1307.0,17.0,5,1,1455000
Skoda,2024,31806,Petrol,Manual,1949.0,18.2,5,1,2693000
Toyota,2025,158240,Petrol,Automatic,1290.0,14.1,4,1,2424000
Ford,2021,75119,Diesel,Manual,2305.0,15.1,7,2,2570000
Volkswagen,2022,43714,Petrol,Manual,1144.0,11.4,5,3,2030000
Kia,2013,60419,Petrol,Manual,2561.0,14.9,5,1,1646000
Maruti,2020,110432,Electric,Manual,1020.0,25.5,5,1,2189000
Honda,2021,97949,Diesel,Manual,,25.1,7,1,2530000
Volkswagen,2020,138533,Petrol,Manual,1848.0,15.4,5,1,1914000
Maruti,2012,150363,Petrol,Manual,1327.0,19.1,5,1,870000
Volkswagen,2021,81971,Diesel,Manual,2005.0,24.6,5,2,2610000
Ford,2014,98471,Petrol,Manual,2322.0,10.1,5,1,1557000
Maruti,2019,69946,Petrol,Automatic,1640.0,23.0,5,3,1775000
Mahindra,2017,103989,Diesel,Manual,2464.0,25.2,5,1,2089000
Tata,2016,89080,Petrol,Automatic,1865.0,11.5,6,2,1669000
Mahindra,2016,82794,Diesel,Manual,1280.0,12.6,7,1,1471000
Skoda,2017,35841,Petrol,Automatic,1729.0,25.4,5,1,2113000
Tata,2026,129447,Petrol,Automatic,2571.0,18.6,5,1,3133000
Mahindra,2018,125029,Petrol,Manual,1671.0,10.2,5,1,1883000
Tata,2012,81272,,Manual,2262.0,14.1,8,1,1408000
Tata,2020,42643,Petrol,Automatic,2225.0,17.2,5,2,2571000
Toyota,2014,48950,Petrol,Manual,2369.0,21.1,7,3,2079000
Honda,2015,105500,CNG,Manual,1144.0,21.7,4,1,1585000
Honda,2021,130588,Electric,Manual,844.0,25.9,5,1,2150000
Toyota,2012,20997,Diesel,Automatic,2469.0,14.6,4,1,1699000
Volkswagen,2024,84751,CNG,Automatic,820.0,18.6,5,1,2396000
Hyundai,2022,103605,Petrol,Manual,2457.0,18.5,7,1,2820000
Volkswagen,2021,159983,Electric,Manual,1893.0,16.5,8,2,2291000
Maruti,2014,60533,Petrol,Manual,1672.0,12.7,5,4,1428000
Maruti,2013,87566,Electric,Manual,847.0,25.6,5,3,1282000
Tata,2013,150643,Electric,Automatic,2314.0,23.7,7,1,2063000
Mahindra,2025,113255,Diesel,Manual,1350.0,18.0,6,3,2510000
Mahindra,2012,63005,Electric,Manual,1086.0,19.7,5,2,1283000
Honda,2019,48541,Diesel,Manual,1801.0,13.6,5,1,1851000
Kia,2014,28387,Petrol,Automatic,1833.0,18.7,5,1,1752000
Volkswagen,2014,98980,Petrol,Manual,1341.0,21.1,5,2,1444000
Skoda,2017,90457,Diesel,Manual,1555.0,18.2,5,1,1733000
Ford,2024,149129,Petrol,Manual,1073.0,25.8,5,1,2192000
Mahindra,2019,69028,Diesel,Manual,,19.8,5,1,2038000
Ford,2024,124246,Electric,Manual,1399.0,15.9,5,1,2701000
Tata,2026,60731,Petrol,Manual,2579.0,22.4,5,1,3405000
Ford,2020,49638,Diesel,Manual,1180.0,12.7,7,3,1783000
Skoda,2020,25567,CNG,Automatic,2152.0,16.2,6,2,2530000
Toyota,2015,62804,Electric,Automatic,1278.0,15.6,5,2,1683000
Skoda,2025,113821,Electric,Automatic,814.0,16.9,7,1,2727000
Ford,2016,8754,Diesel,Manual,1315.0,22.5,7,2,1871000
Skoda,2013,32044,Electric,Automatic,990.0,17.7,5,1,1649000
Hyundai,2022,72260,Diesel,Manual,1991.0,22.7,4,1,2639000
Tata,2020,71912,Petrol,Manual,2344.0,19.2,7,1,2849000
Volkswagen,2019,13706,Petrol,Manual,1420.0,15.5,7,1,1983000
Toyota,2014,13894,Diesel,Manual,1960.0,23.0,8,1,1737000
Mahindra,2022,154109,Petrol,Automatic,953.0,13.8,7,1,1981000
Maruti,2023,88986,Diesel,Manual,2211.0,13.6,5,1,2423000
Volkswagen,2024,86942,Diesel,Manual,2032.0,18.1,5,1,2579000
Maruti,2020,34725,Petrol,Manual,1071.0,14.2,4,4,1549000
Tata,2014,141998,Diesel,Manual,942.0,10.1,5,1,880000
Toyota,2020,109555,Diesel,Manual,2434.0,20.4,5,2,2364000
Honda,2013,14496,Petrol,Manual,1892.0,18.2,5,1,1683000
Mahindra,2023,61447,Petrol,Automatic,1046.0,17.1,5,1,2253000
Hyundai,2021,106604,Petrol,Automatic,2084.0,25.5,7,4,2428000
Honda,2020,93199,Petrol,Manual,1587.0,19.1,5,1,2190000
Tata,2026,46321,CNG,Manual,878.0,23.8,5,1,2475000
Volkswagen,2019,158728,Petrol,Manual,2481.0,12.2,5,2,2029000
Hyundai,2020,60147,Diesel,Automatic,1422.0,19.1,5,1,2288000
Skoda,2016,96396,Petrol,Manual,2593.0,23.9,7,2,1950000
Ford,2022,43787,Petrol,Manual,2428.0,19.3,7,1,2501000
Hyundai,2022,26727,CNG,Manual,1324.0,21.5,8,1,2395000
Tata,2013,100081,Diesel,Manual,1571.0,16.0,5,1,1375000
Kia,2019,127721,Petrol,Manual,1737.0,11.5,5,1,2125000
Ford,2023,73056,Petrol,Automatic,2444.0,17.3,5,3,2732000
Maruti,2026,139153,Petrol,Manual,2153.0,16.3,5,2,2803000
Mahindra,2017,85102,Petrol,Manual,2012.0,23.9,7,1,2083000
Maruti,2019,81865,Diesel,Automatic,1918.0,13.9,7,1,2332000
Hyundai,2022,72695,Petrol,Automatic,1416.0,25.5,7,2,2671000
Maruti,2016,122235,Petrol,Manual,1831.0,25.3,5,1,1489000
Tata,2021,113777,Petrol,Manual,866.0,14.0,7,1,1874000
Skoda,2013,24033,CNG,Manual,2319.0,15.6,5,1,2043000
Volkswagen,2017,146877,Electric,Automatic,990.0,24.3,7,1,1946000
Mahindra,2016,31832,Petrol,Manual,2189.0,25.5,5,2,2248000
Maruti,2023,120725,Diesel,Automatic,1567.0,17.1,5,4,2176000
Maruti,2024,150016,Petrol,Automatic,1320.0,15.1,5,1,2287000
Hyundai,2023,24873,Petrol,Manual,1789.0,18.4,7,1,2678000
Volkswagen,2016,45372,Diesel,Manual,1940.0,21.0,4,1,1737000
Honda,2024,94464,CNG,Manual,1066.0,14.4,5,1,2105000
Maruti,2012,151451,Electric,Manual,2434.0,21.8,7,1,1648000
Tata,2013,122322,Diesel,Manual,1284.0,10.8,5,2,1112000
Kia,2019,105082,Petrol,Manual,2332.0,10.8,5,1,2268000
Mahindra,2024,10110,Diesel,Automatic,2121.0,16.2,5,1,3069000
Maruti,2025,17087,Petrol,Manual,1987.0,15.7,5,1,2929000
Tata,2024,159834,Diesel,Automatic,1175.0,15.1,7,1,2363000
Tata,2014,87617,Petrol,Manual,,17.9,7,1,1587000
Mahindra,2021,105483,Diesel,Manual,2091.0,15.1,5,2,2312000
Honda,2014,14596,Petrol,Manual,1348.0,13.1,8,1,1432000
Tata,2019,112539,Petrol,Manual,1897.0,15.0,5,2,1877000
Kia,2019,23313,CNG,Automatic,2331.0,25.6,5,1,2765000
Tata,2013,118175,Petrol,Manual,872.0,16.6,5,1,874000
Tata,2019,119914,Petrol,Manual,1107.0,17.1,5,1,1774000
Tata,2022,28705,Petrol,Manual,998.0,19.2,5,1,2002000
Skoda,2024,78445,Petrol,Manual,1953.0,25.7,7,1,2749000
Skoda,2024,108892,Petrol,Manual,2581.0,13.9,7,1,3001000
Honda,2012,7023,Petrol,Automatic,1371.0,20.9,5,2,1394000
Maruti,2017,124654,CNG,Automatic,1590.0,21.5,5,2,1720000
Tata,2019,85073,Petrol,Manual,2438.0,19.7,7,1,2519000
Volkswagen,2014,97197,Electric,Manual,2310.0,11.4,7,1,1878000
Maruti,2019,69429,Diesel,Manual,1974.0,20.8,7,1,2297000
Honda,2023,109195,Petrol,Manual,2492.0,11.0,5,1,2800000
Toyota,2012,38848,Diesel,Manual,2029.0,19.5,7,1,1937000
Maruti,2022,151451,Petrol,Manual,978.0,21.8,5,3,1967000
Maruti,2022,32766,Diesel,Manual,996.0,13.4,5,1,2072000
Ford,2020,73099,Petrol,Manual,1534.0,23.5,5,1,2260000
Hyundai,2024,74122,Petrol,Manual,888.0,10.5,5,1,1988000
Ford,2022,152159,CNG,Manual,1598.0,23.5,5,1,2112000
Kia,2024,53868,Electric,Manual,2257.0,17.4,5,2,2724000
Skoda,2020,124119,CNG,Manual,1587.0,13.5,4,1,2186000
Skoda,2016,159297,Petrol,Automatic,1547.0,12.1,7,1,1534000
Hyundai,2021,100286,Diesel,Manual,2006.0,25.3,4,2,2401000
Mahindra,2015,11643,Petrol,Manual,1008.0,11.2,5,1,1245000
Mahindra,2026,41727,Petrol,Manual,1292.0,13.2,5,2,2615000
Honda,2022,147077,Petrol,Automatic,1953.0,15.6,8,1,2364000
Hyundai,2017,114079,Diesel,Manual,1464.0,19.9,5,1,1574000
Maruti,2023,70697,Petrol,Manual,1836.0,18.7,5,2,2480000
Mahindra,2018,21029,Petrol,Manual,2457.0,12.0,5,1,2098000
Tata,2016,150298,CNG,Automatic,1670.0,14.6,7,1,1622000
Volkswagen,2022,114458,Petrol,Automatic,1531.0,13.8,8,1,2019000
Maruti,2024,115384,Petrol,Manual,1929.0,13.4,5,1,2301000
Kia,2021,73926,Petrol,Automatic,2198.0,16.6,5,2,2537000
Tata,2020,142069,Electric,Automatic,2405.0,21.3,7,3,2386000
Tata,2014,60506,Petrol,Automatic,2530.0,13.5,5,4,1545000
Hyundai,2026,83229,Petrol,Manual,1497.0,15.9,5,2,2560000
Honda,2018,47092,Diesel,Manual,1922.0,16.3,5,1,2071000
Kia,2021,67539,Diesel,Manual,1393.0,25.6,4,1,2570000
Mahindra,2021,157889,Petrol,Automatic,2410.0,25.3,5,1,2818000
Hyundai,2022,18428,Diesel,Manual,1685.0,22.8,5,1,2476000
Mahindra,2016,146330,Diesel,Manual,1651.0,13.9,7,1,1725000
Hyundai,2025,62775,Diesel,Manual,2015.0,11.1,7,3,2831000
Hyundai,2018,10469,Petrol,Automatic,1124.0,15.1,5,1,1811000
Hyundai,2026,33854,CNG,Automatic,1778.0,14.3,7,1,2880000
Honda,2013,142328,Diesel,Manual,2549.0,18.1,5,1,1708000
Hyundai,2015,81256,Petrol,Automatic,1755.0,22.4,5,2,1707000
Toyota,2013,104134,Petrol,Manual,2290.0,23.7,5,2,1618000
Volkswagen,2025,137723,Petrol,Automatic,1693.0,23.5,7,2,2823000
Mahindra,2024,89730,Petrol,Manual,2190.0,15.8,7,1,2704000
Maruti,2024,32386,Diesel,Manual,2141.0,21.0,6,2,2700000
Ford,2023,152256,Petrol,Automatic,943.0,15.0,7,1,2125000
Kia,2018,38787,Petrol,Manual,,11.0,5,3,1627000
Skoda,2013,26621,Diesel,Automatic,1015.0,21.2,8,1,1331000
Honda,2024,82984,Petrol,Manual,2184.0,10.2,7,1,2850000
Maruti,2025,39051,Electric,Manual,1123.0,16.5,7,1,2532000
Tata,2022,54811,Petrol,Manual,1838.0,15.3,5,2,2250000
Toyota,2012,35447,Petrol,Manual,1016.0,21.1,5,1,1165000
Skoda,2020,133046,Petrol,Manual,2315.0,22.3,5,3,2160000
Ford,2012,89045,Petrol,Manual,1750.0,14.9,5,1,1143000
Maruti,2019,121859,Petrol,Manual,2370.0,23.0,5,1,2478000
Skoda,2026,150544,Diesel,Manual,982.0,14.7,5,1,2263000
Maruti,2013,8471,Electric,Automatic,1069.0,17.1,5,1,1854000
Toyota,2023,125312,Petrol,Automatic,1744.0,21.6,4,1,2657000
Ford,2019,144401,Diesel,Manual,2290.0,21.1,5,1,2229000
Tata,2024,51850,Diesel,Automatic,1669.0,25.8,5,2,2858000
Hyundai,2014,59220,CNG,Manual,2435.0,13.6,7,1,2198000
Mahindra,2017,98808,Petrol,Manual,2342.0,20.6,5,3,1833000
Tata,2014,142469,Petrol,Automatic,2365.0,19.8,5,1,1639000
Hyundai,2025,58072,Petrol,Automatic,1266.0,24.6,7,2,2649000
Honda,2018,88820,Diesel,Manual,1104.0,12.5,5,1,1660000
Volkswagen,2021,28284,Diesel,Automatic,1967.0,22.0,5,1,2500000
Kia,2020,88369,Petrol,Manual,910.0,19.1,5,1,1823000
Kia,2013,30122,Petrol,Automatic,1813.0,14.4,5,1,1839000
Mahindra,2026,135349,CNG,Manual,1031.0,17.6,8,2,2344000
Ford,2023,75553,Diesel,Manual,2514.0,15.3,5,1,2754000
Toyota,2023,99788,Electric,Manual,2407.0,19.3,5,1,2927000
Ford,2026,67812,Diesel,Automatic,2545.0,24.2,4,2,3420000
Toyota,2025,12999,Petrol,Manual,2555.0,19.1,5,1,3125000
Ford,2016,27436,Diesel,Automatic,2415.0,20.1,7,2,2542000
Volkswagen,2024,47963,Diesel,Manual,2323.0,18.3,5,1,3193000
Honda,2017,138168,Petrol,Manual,1394.0,10.8,5,2,1446000
Honda,2015,113899,Diesel,Manual,2377.0,13.7,5,1,1841000
Hyundai,2015,31201,Diesel,Manual,2096.0,17.9,4,1,2047000
Skoda,2015,155787,Petrol,Manual,2526.0,15.0,5,1,1913000
Honda,2013,151150,Diesel,Manual,972.0,12.9,7,3,820000
Honda,2015,10105,Diesel,Manual,1772.0,18.1,7,1,1884000
Tata,2022,122666,Electric,Manual,1830.0,15.2,7,1,2395000
Tata,2012,99848,Petrol,Manual,1978.0,14.1,7,2,1360000
Hyundai,2023,7839,Petrol,Automatic,2345.0,17.4,7,3,2998000
